
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: 'Rec' | Latency: 238.66ms
Token 550: ' operating' | Latency: 6.40ms
Token 551: ' systems' | Latency: 6.35ms
Token 552: ',' | Latency: 6.38ms
Token 553: ' games' | Latency: 6.36ms
Token 554: ',' | Latency: 6.26ms
Token 555: ' and' | Latency: 6.40ms
Token 556: ' other' | Latency: 6.41ms
Token 557: ' high' | Latency: 6.34ms
Token 558: '-performance' | Latency: 6.42ms
Token 559: ' applications' | Latency: 6.25ms
Token 560: ' where' | Latency: 6.28ms
Token 561: ' memory' | Latency: 6.22ms
Token 562: ' management' | Latency: 6.27ms
Token 563: ' and' | Latency: 6.39ms
Token 564: ' performance' | Latency: 6.33ms
Token 565: ' are' | Latency: 6.25ms
Token 566: ' crucial' | Latency: 6.33ms
Token 567: '.' | Latency: 6.43ms

--- Summary ---
Total tokens: 567
TTFT: 267.64ms
TPOT: 6.86ms
ITL Mean: 6.39ms
Throughput: 145.71 tok/s

============================================================
Request 3/5
Prompt: Write a short poem about artificial intelligence.
============================================================
Token 1: 'Here' | Latency: 276.97ms
Token 2: ' is' | Latency: 6.79ms
Token 3: ' a' | Latency: 9.04ms
Token 4: ' short' | Latency: 6.68ms
Token 5: ' poem' | Latency: 6.18ms
Token 6: ' about' | Latency: 6.49ms
Token 7: ' artificial' | Latency: 6.47ms
Token 8: ' intelligence' | Latency: 6.54ms
Token 9: ':

' | Latency: 6.40ms
Token 10: 'Int' | Latency: 6.49ms
Token 11: 'elligent' | Latency: 6.49ms
Token 12: ' machines' | Latency: 8.60ms
Token 13: ',' | Latency: 6.08ms
Token 14: ' so' | Latency: 6.31ms
Token 15: ' bright' | Latency: 6.50ms
Token 16: ',
' | Latency: 8.09ms
Token 17: 'Learning' | Latency: 6.62ms
Token 18: ' fast' | Latency: 6.64ms
Token 19: ',' | Latency: 6.61ms
Token 20: ' day' | Latency: 8.66ms
Token 21: ' and' | Latency: 6.31ms
Token 22: ' night' | Latency: 6.36ms
Token 23: '.
' | Latency: 6.42ms
Token 24: 'Code' | Latency: 8.15ms
Token 25: ' and' | Latency: 6.16ms
Token 26: ' circuits' | Latency: 6.36ms
Token 27: ',' | Latency: 6.39ms
Token 28: ' complex' | Latency: 7.61ms
Token 29: ' design' | Latency: 6.15ms
Token 30: ',
' | Latency: 6.24ms
Token 31: 'Thinking' | Latency: 6.26ms
Token 32: ' ahead' | Latency: 6.27ms
Token 33: ',' | Latency: 6.24ms
Token 34: ' leaving' | Latency: 6.27ms
Token 35: ' humans' | Latency: 6.38ms
Token 36: ' behind' | Latency: 7.05ms
Token 37: '.

' | Latency: 6.43ms
Token 38: 'With' | Latency: 6.50ms
Token 39: ' each' | Latency: 6.34ms
Token 40: ' passing' | Latency: 6.58ms
Token 41: ' moment' | Latency: 6.56ms
Token 42: ',' | Latency: 6.61ms
Token 43: ' they' | Latency: 6.58ms
Token 44: ' grow' | Latency: 6.51ms
Token 45: ',
' | Latency: 6.51ms
Token 46: 'In' | Latency: 6.55ms
Token 47: ' knowledge' | Latency: 6.49ms
Token 48: ',' | Latency: 6.56ms
Token 49: ' power' | Latency: 6.78ms
Token 50: ',' | Latency: 8.01ms
Token 51: ' and' | Latency: 6.29ms
Token 52: ' wit' | Latency: 6.36ms
Token 53: ' to' | Latency: 6.43ms
Token 54: ' show' | Latency: 7.78ms
Token 55: '.
' | Latency: 6.86ms
Token 56: 'Their' | Latency: 7.07ms
Token 57: ' potential' | Latency: 6.65ms
Token 58: ' limitless' | Latency: 7.58ms
Token 59: ' it' | Latency: 6.25ms
Token 60: ' seems' | Latency: 6.29ms
Token 61: ',
' | Latency: 6.20ms
Token 62: 'A' | Latency: 9.02ms
Token 63: ' future' | Latency: 6.75ms
Token 64: ' where' | Latency: 7.00ms
Token 65: ' AI' | Latency: 6.69ms
Token 66: ''s' | Latency: 6.64ms
Token 67: ' the' | Latency: 6.49ms
Token 68: ' norm' | Latency: 6.61ms
Token 69: ',' | Latency: 6.57ms
Token 70: ' no' | Latency: 7.73ms
Token 71: ' dreams' | Latency: 6.20ms
Token 72: '.

' | Latency: 6.27ms
Token 73: 'But' | Latency: 6.14ms
Token 74: ' what' | Latency: 6.28ms
Token 75: ' of' | Latency: 6.21ms
Token 76: ' us' | Latency: 6.15ms
Token 77: '?' | Latency: 6.34ms
Token 78: ' Our' | Latency: 8.32ms
Token 79: ' role' | Latency: 6.90ms
Token 80: ',' | Latency: 6.64ms
Token 81: ' our' | Latency: 6.53ms
Token 82: ' place' | Latency: 6.65ms
Token 83: '?
' | Latency: 6.53ms
Token 84: 'Will' | Latency: 6.65ms
Token 85: ' we' | Latency: 6.74ms
Token 86: ' be' | Latency: 7.66ms
Token 87: ' friends' | Latency: 6.18ms
Token 88: ' or' | Latency: 6.12ms
Token 89: ' just' | Latency: 6.35ms
Token 90: ' a' | Latency: 6.27ms
Token 91: ' pace' | Latency: 6.22ms
Token 92: '?
' | Latency: 6.25ms
Token 93: 'The' | Latency: 6.23ms
Token 94: ' line' | Latency: 6.13ms
Token 95: ' between' | Latency: 6.22ms
Token 96: ' man' | Latency: 6.27ms
Token 97: ' and' | Latency: 6.19ms
Token 98: ' machine' | Latency: 6.27ms
Token 99: ' bl' | Latency: 6.33ms
Token 100: 'urs' | Latency: 6.66ms
Token 101: ',
' | Latency: 6.46ms
Token 102: 'As' | Latency: 6.53ms
Token 103: ' intelligence' | Latency: 6.30ms
Token 104: ' artificial' | Latency: 6.38ms
Token 105: ',' | Latency: 6.32ms
Token 106: ' forever' | Latency: 6.35ms
Token 107: ' sur' | Latency: 6.33ms
Token 108: 'ges' | Latency: 6.39ms
Token 109: '.' | Latency: 6.31ms

--- Summary ---
Total tokens: 109
TTFT: 276.97ms
TPOT: 9.19ms
ITL Mean: 6.65ms
Throughput: 108.76 tok/s

============================================================
Request 4/5
Prompt: Describe the Big O notation and why it matters.
============================================================
Token 1: 'Big' | Latency: 288.14ms
Token 2: ' O' | Latency: 6.20ms
Token 3: ' notation' | Latency: 7.10ms
Token 4: '!' | Latency: 6.53ms
Token 5: ' It' | Latency: 6.50ms
Token 6: ''s' | Latency: 6.58ms
Token 7: ' a' | Latency: 6.43ms
Token 8: ' fundamental' | Latency: 6.43ms
Token 9: ' concept' | Latency: 6.42ms
Token 10: ' in' | Latency: 6.44ms
Token 11: ' computer' | Latency: 6.42ms
Token 12: ' science' | Latency: 6.45ms
Token 13: ' that' | Latency: 6.45ms
Token 14: ' helps' | Latency: 6.52ms
Token 15: ' us' | Latency: 6.53ms
Token 16: ' analyze' | Latency: 6.36ms
Token 17: ' the' | Latency: 6.34ms
Token 18: ' performance' | Latency: 6.40ms
Token 19: ' of' | Latency: 6.33ms
Token 20: ' algorithms' | Latency: 6.37ms
Token 21: ',' | Latency: 6.32ms
Token 22: ' making' | Latency: 6.43ms
Token 23: ' sure' | Latency: 6.37ms
Token 24: ' they' | Latency: 6.42ms
Token 25: ''re' | Latency: 6.40ms
Token 26: ' efficient' | Latency: 6.99ms
Token 27: ' and' | Latency: 6.48ms
Token 28: ' scalable' | Latency: 6.55ms
Token 29: '.

' | Latency: 6.55ms
Token 30: '**' | Latency: 6.59ms
Token 31: 'What' | Latency: 6.53ms
Token 32: ' is' | Latency: 8.52ms
Token 33: ' Big' | Latency: 6.33ms
Token 34: ' O' | Latency: 6.32ms
Token 35: ' notation' | Latency: 6.33ms
Token 36: '?' | Latency: 6.31ms
Token 37: '**

' | Latency: 6.32ms
Token 38: 'Big' | Latency: 6.34ms
Token 39: ' O' | Latency: 6.87ms
Token 40: ' notation' | Latency: 7.50ms
Token 41: ' (' | Latency: 6.55ms
Token 42: 'pron' | Latency: 6.62ms
Token 43: 'ounced' | Latency: 6.44ms
Token 44: ' "' | Latency: 6.56ms
Token 45: 'big' | Latency: 6.95ms
Token 46: ' oh' | Latency: 5.96ms
Token 47: '")' | Latency: 6.43ms
Token 48: ' is' | Latency: 6.66ms
Token 49: ' a' | Latency: 7.52ms
Token 50: ' mathematical' | Latency: 6.66ms
Token 51: ' notation' | Latency: 7.00ms
Token 52: ' that' | Latency: 6.68ms
Token 53: ' describes' | Latency: 6.62ms
Token 54: ' the' | Latency: 6.70ms
Token 55: ' worst' | Latency: 6.66ms
Token 56: '-case' | Latency: 6.67ms
Token 57: ' scenario' | Latency: 6.66ms
Token 58: ' for' | Latency: 6.67ms
Token 59: ' an' | Latency: 6.51ms
Token 60: ' algorithm' | Latency: 6.49ms
Token 61: ''s' | Latency: 6.51ms
Token 62: ' time' | Latency: 6.48ms
Token 63: ' complexity' | Latency: 6.47ms
Token 64: ',' | Latency: 6.52ms
Token 65: ' as' | Latency: 6.47ms
Token 66: ' the' | Latency: 6.49ms
Token 67: ' size' | Latency: 6.49ms
Token 68: ' of' | Latency: 6.55ms
Token 69: ' the' | Latency: 6.53ms
Token 70: ' input' | Latency: 6.50ms
Token 71: ' increases' | Latency: 6.47ms
Token 72: ' without' | Latency: 6.52ms
Token 73: ' bound' | Latency: 6.49ms
Token 74: '.' | Latency: 6.56ms
Token 75: ' In' | Latency: 6.49ms
Token 76: ' other' | Latency: 6.52ms
Token 77: ' words' | Latency: 6.48ms
Token 78: ',' | Latency: 6.61ms
Token 79: ' it' | Latency: 6.31ms
Token 80: ' measures' | Latency: 6.50ms
Token 81: ' how' | Latency: 6.56ms
Token 82: ' long' | Latency: 6.10ms
Token 83: ' an' | Latency: 7.25ms
Token 84: ' algorithm' | Latency: 6.50ms
Token 85: ' takes' | Latency: 6.49ms
Token 86: ' to' | Latency: 6.31ms
Token 87: ' complete' | Latency: 6.29ms
Token 88: ',' | Latency: 6.35ms
Token 89: ' relative' | Latency: 6.26ms
Token 90: ' to' | Latency: 6.60ms
Token 91: ' the' | Latency: 6.63ms
Token 92: ' size' | Latency: 6.53ms
Token 93: ' of' | Latency: 6.38ms
Token 94: ' the' | Latency: 6.57ms
Token 95: ' input' | Latency: 6.44ms
Token 96: '.

' | Latency: 6.43ms
Token 97: 'The' | Latency: 6.38ms
Token 98: ' "' | Latency: 6.57ms
Token 99: 'O' | Latency: 6.52ms
Token 100: '"' | Latency: 6.53ms
Token 101: ' in' | Latency: 6.42ms
Token 102: ' Big' | Latency: 6.51ms
Token 103: ' O' | Latency: 6.40ms
Token 104: ' stands' | Latency: 6.54ms
Token 105: ' for' | Latency: 6.49ms
Token 106: ' "' | Latency: 6.58ms
Token 107: 'order' | Latency: 6.61ms
Token 108: ',"' | Latency: 6.32ms
Token 109: ' and' | Latency: 6.40ms
Token 110: ' it' | Latency: 6.48ms
Token 111: ''s' | Latency: 6.42ms
Token 112: ' used' | Latency: 6.49ms
Token 113: ' to' | Latency: 6.40ms
Token 114: ' describe' | Latency: 6.47ms
Token 115: ' the' | Latency: 6.43ms
Token 116: ' upper' | Latency: 6.44ms
Token 117: ' bound' | Latency: 6.41ms
Token 118: ' of' | Latency: 6.46ms
Token 119: ' an' | Latency: 6.42ms
Token 120: ' algorithm' | Latency: 6.48ms
Token 121: ''s' | Latency: 6.38ms
Token 122: ' time' | Latency: 6.94ms
Token 123: ' complexity' | Latency: 6.34ms
Token 124: '.' | Latency: 6.41ms
Token 125: ' The' | Latency: 6.43ms
Token 126: ' notation' | Latency: 6.44ms
Token 127: ' is' | Latency: 6.41ms
Token 128: ' often' | Latency: 6.47ms
Token 129: ' used' | Latency: 6.41ms
Token 130: ' with' | Latency: 6.48ms
Token 131: ' a' | Latency: 6.40ms
Token 132: ' function' | Latency: 6.48ms
Token 133: ',' | Latency: 6.44ms
Token 134: ' such' | Latency: 6.46ms
Token 135: ' as' | Latency: 6.41ms
Token 136: ' O' | Latency: 6.47ms
Token 137: '(n' | Latency: 6.41ms
Token 138: '),' | Latency: 6.46ms
Token 139: ' which' | Latency: 6.42ms
Token 140: ' means' | Latency: 6.45ms
Token 141: ' that' | Latency: 8.18ms
Token 142: ' the' | Latency: 4.72ms
Token 143: ' time' | Latency: 6.47ms
Token 144: ' taken' | Latency: 6.44ms
Token 145: ' by' | Latency: 6.40ms
Token 146: ' the' | Latency: 6.47ms
Token 147: ' algorithm' | Latency: 6.41ms
Token 148: ' increases' | Latency: 6.48ms
Token 149: ' at' | Latency: 6.41ms
Token 150: ' most' | Latency: 6.48ms
Token 151: ' linear' | Latency: 6.42ms
Token 152: 'ly' | Latency: 6.52ms
Token 153: ' with' | Latency: 6.42ms
Token 154: ' the' | Latency: 7.06ms
Token 155: ' size' | Latency: 6.41ms
Token 156: ' of' | Latency: 6.50ms
Token 157: ' the' | Latency: 6.44ms
Token 158: ' input' | Latency: 6.47ms
Token 159: ' (' | Latency: 6.42ms
Token 160: 'n' | Latency: 6.48ms
Token 161: ').

' | Latency: 6.49ms
Token 162: '**' | Latency: 6.47ms
Token 163: 'Why' | Latency: 6.45ms
Token 164: ' does' | Latency: 6.49ms
Token 165: ' Big' | Latency: 6.45ms
Token 166: ' O' | Latency: 6.50ms
Token 167: ' matter' | Latency: 6.53ms
Token 168: '?' | Latency: 6.45ms
Token 169: '**

' | Latency: 6.49ms
Token 170: 'Big' | Latency: 6.45ms
Token 171: ' O' | Latency: 6.55ms
Token 172: ' notation' | Latency: 6.49ms
Token 173: ' matters' | Latency: 6.61ms
Token 174: ' for' | Latency: 6.47ms
Token 175: ' several' | Latency: 6.48ms
Token 176: ' reasons' | Latency: 6.54ms
Token 177: ':

' | Latency: 6.46ms
Token 178: '1' | Latency: 6.50ms
Token 179: '.' | Latency: 6.44ms
Token 180: ' **' | Latency: 6.52ms
Token 181: 'Predict' | Latency: 6.65ms
Token 182: 'ing' | Latency: 6.67ms
Token 183: ' performance' | Latency: 6.48ms
Token 184: '**:' | Latency: 6.49ms
Token 185: ' By' | Latency: 6.48ms
Token 186: ' analyzing' | Latency: 6.56ms
Token 187: ' an' | Latency: 6.63ms
Token 188: ' algorithm' | Latency: 6.57ms
Token 189: ''s' | Latency: 6.51ms
Token 190: ' Big' | Latency: 6.52ms
Token 191: ' O' | Latency: 6.48ms
Token 192: ' complexity' | Latency: 6.53ms
Token 193: ',' | Latency: 6.47ms
Token 194: ' you' | Latency: 6.51ms
Token 195: ' can' | Latency: 6.48ms
Token 196: ' predict' | Latency: 6.80ms
Token 197: ' how' | Latency: 6.39ms
Token 198: ' it' | Latency: 6.50ms
Token 199: ' will' | Latency: 6.49ms
Token 200: ' perform' | Latency: 6.59ms
Token 201: ' as' | Latency: 6.52ms
Token 202: ' the' | Latency: 8.79ms
Token 203: ' input' | Latency: 6.41ms
Token 204: ' size' | Latency: 6.79ms
Token 205: ' grows' | Latency: 7.91ms
Token 206: '.' | Latency: 6.37ms
Token 207: ' This' | Latency: 6.58ms
Token 208: ' helps' | Latency: 6.84ms
Token 209: ' you' | Latency: 6.49ms
Token 210: ' understand' | Latency: 6.60ms
Token 211: ' whether' | Latency: 6.47ms
Token 212: ' your' | Latency: 6.52ms
Token 213: ' algorithm' | Latency: 6.45ms
Token 214: ' will' | Latency: 6.53ms
Token 215: ' become' | Latency: 6.42ms
Token 216: ' too' | Latency: 6.53ms
Token 217: ' slow' | Latency: 6.47ms
Token 218: ' or' | Latency: 6.52ms
Token 219: ' resource' | Latency: 6.77ms
Token 220: '-intensive' | Latency: 6.24ms
Token 221: '.
' | Latency: 6.51ms
Token 222: '2' | Latency: 6.59ms
Token 223: '.' | Latency: 6.53ms
Token 224: ' **' | Latency: 6.43ms
Token 225: 'Compar' | Latency: 6.54ms
Token 226: 'ing' | Latency: 8.58ms
Token 227: ' algorithms' | Latency: 6.41ms
Token 228: '**:' | Latency: 6.22ms
Token 229: ' Big' | Latency: 6.57ms
Token 230: ' O' | Latency: 7.68ms
Token 231: ' notation' | Latency: 6.36ms
Token 232: ' allows' | Latency: 6.48ms
Token 233: ' you' | Latency: 6.44ms
Token 234: ' to' | Latency: 6.53ms
Token 235: ' compare' | Latency: 6.45ms
Token 236: ' the' | Latency: 6.47ms
Token 237: ' efficiency' | Latency: 6.46ms
Token 238: ' of' | Latency: 9.24ms
Token 239: ' different' | Latency: 6.50ms
Token 240: ' algorithms' | Latency: 6.59ms
Token 241: ' for' | Latency: 6.53ms
Token 242: ' solving' | Latency: 6.59ms
Token 243: ' a' | Latency: 6.55ms
Token 244: ' problem' | Latency: 6.59ms
Token 245: '.' | Latency: 6.57ms
Token 246: ' For' | Latency: 6.60ms
Token 247: ' example' | Latency: 6.50ms
Token 248: ',' | Latency: 6.57ms
Token 249: ' if' | Latency: 6.66ms
Token 250: ' two' | Latency: 8.86ms
Token 251: ' sorting' | Latency: 6.37ms
Token 252: ' algorithms' | Latency: 6.46ms
Token 253: ' have' | Latency: 6.57ms
Token 254: ' complexities' | Latency: 7.93ms
Token 255: ' of' | Latency: 6.66ms
Token 256: ' O' | Latency: 6.82ms
Token 257: '(n' | Latency: 6.77ms
Token 258: ' log' | Latency: 6.57ms
Token 259: ' n' | Latency: 6.68ms
Token 260: ')' | Latency: 6.57ms
Token 261: ' and' | Latency: 6.66ms
Token 262: ' O' | Latency: 6.60ms
Token 263: '(n' | Latency: 6.56ms
Token 264: '^' | Latency: 6.62ms
Token 265: '2' | Latency: 6.53ms
Token 266: '),' | Latency: 6.57ms
Token 267: ' respectively' | Latency: 6.59ms
Token 268: ',' | Latency: 6.59ms
Token 269: ' you' | Latency: 6.87ms
Token 270: ' can' | Latency: 8.37ms
Token 271: ' conclude' | Latency: 6.37ms
Token 272: ' that' | Latency: 6.44ms
Token 273: ' the' | Latency: 6.62ms
Token 274: ' first' | Latency: 7.93ms
Token 275: ' algorithm' | Latency: 6.65ms
Token 276: ' is' | Latency: 6.61ms
Token 277: ' more' | Latency: 6.79ms
Token 278: ' efficient' | Latency: 8.49ms
Token 279: ' for' | Latency: 6.45ms
Token 280: ' large' | Latency: 6.44ms
Token 281: ' inputs' | Latency: 6.47ms
Token 282: '.
' | Latency: 6.66ms
Token 283: '3' | Latency: 8.32ms
Token 284: '.' | Latency: 6.25ms
Token 285: ' **' | Latency: 6.58ms
Token 286: 'Ident' | Latency: 6.43ms
Token 287: 'ifying' | Latency: 6.44ms
Token 288: ' bott' | Latency: 6.52ms
Token 289: 'lene' | Latency: 6.33ms
Token 290: 'cks' | Latency: 6.57ms
Token 291: '**:' | Latency: 7.58ms
Token 292: ' When' | Latency: 6.43ms
Token 293: ' analyzing' | Latency: 6.44ms
Token 294: ' an' | Latency: 6.49ms
Token 295: ' algorithm' | Latency: 7.40ms
Token 296: ''s' | Latency: 6.56ms
Token 297: ' performance' | Latency: 6.41ms
Token 298: ',' | Latency: 6.42ms
Token 299: ' Big' | Latency: 6.54ms
Token 300: ' O' | Latency: 6.71ms
Token 301: ' notation' | Latency: 6.58ms
Token 302: ' helps' | Latency: 6.70ms
Token 303: ' you' | Latency: 6.66ms
Token 304: ' identify' | Latency: 6.58ms
Token 305: ' potential' | Latency: 6.67ms
Token 306: ' bott' | Latency: 6.78ms
Token 307: 'lene' | Latency: 8.32ms
Token 308: 'cks' | Latency: 6.45ms
Token 309: ' or' | Latency: 6.41ms
Token 310: ' areas' | Latency: 6.57ms
Token 311: ' where' | Latency: 8.06ms
Token 312: ' optimization' | Latency: 6.59ms
Token 313: ' efforts' | Latency: 6.62ms
Token 314: ' should' | Latency: 6.68ms
Token 315: ' focus' | Latency: 8.07ms
Token 316: '.
' | Latency: 6.35ms
Token 317: '4' | Latency: 6.29ms
Token 318: '.' | Latency: 6.33ms
Token 319: ' **' | Latency: 8.43ms
Token 320: 'Understanding' | Latency: 7.12ms
Token 321: ' scalability' | Latency: 6.50ms
Token 322: '**:' | Latency: 6.64ms
Token 323: ' As' | Latency: 6.47ms
Token 324: ' input' | Latency: 6.75ms
Token 325: ' sizes' | Latency: 6.64ms
Token 326: ' grow' | Latency: 6.72ms
Token 327: ',' | Latency: 6.64ms
Token 328: ' algorithms' | Latency: 6.71ms
Token 329: ' with' | Latency: 6.57ms
Token 330: ' a' | Latency: 6.81ms
Token 331: ' higher' | Latency: 6.61ms
Token 332: ' Big' | Latency: 6.66ms
Token 333: ' O' | Latency: 6.59ms
Token 334: ' complexity' | Latency: 6.68ms
Token 335: ' (' | Latency: 6.60ms
Token 336: 'e' | Latency: 6.87ms
Token 337: '.g' | Latency: 7.96ms
Token 338: '.,' | Latency: 6.34ms
Token 339: ' O' | Latency: 6.17ms
Token 340: '(n' | Latency: 6.50ms
Token 341: '^' | Latency: 8.41ms
Token 342: '2' | Latency: 7.08ms
Token 343: '))' | Latency: 7.08ms
Token 344: ' may' | Latency: 6.66ms
Token 345: ' become' | Latency: 6.63ms
Token 346: ' impr' | Latency: 6.68ms
Token 347: 'actical' | Latency: 6.56ms
Token 348: ' or' | Latency: 6.78ms
Token 349: ' even' | Latency: 7.94ms
Token 350: ' impossible' | Latency: 6.35ms
Token 351: ' to' | Latency: 6.28ms
Token 352: ' run' | Latency: 6.45ms
Token 353: ' in' | Latency: 8.64ms
Token 354: ' reasonable' | Latency: 7.25ms
Token 355: ' time' | Latency: 6.84ms
Token 356: '.' | Latency: 6.93ms
Token 357: ' By' | Latency: 6.55ms
Token 358: ' understanding' | Latency: 6.65ms
Token 359: ' an' | Latency: 6.66ms
Token 360: ' algorithm' | Latency: 6.84ms
Token 361: ''s' | Latency: 8.34ms
Token 362: ' Big' | Latency: 6.43ms
Token 363: ' O' | Latency: 6.44ms
Token 364: ' complexity' | Latency: 6.67ms
Token 365: ',' | Latency: 7.83ms
Token 366: ' you' | Latency: 6.85ms
Token 367: ' can' | Latency: 6.75ms
Token 368: ' determine' | Latency: 6.99ms
Token 369: ' its' | Latency: 8.26ms
Token 370: ' suitability' | Latency: 6.47ms
Token 371: ' for' | Latency: 6.40ms
Token 372: ' large' | Latency: 6.49ms
Token 373: '-scale' | Latency: 6.41ms
Token 374: ' problems' | Latency: 6.48ms
Token 375: '.
' | Latency: 6.42ms
Token 376: '5' | Latency: 6.54ms
Token 377: '.' | Latency: 8.12ms
Token 378: ' **' | Latency: 6.74ms
Token 379: 'Impro' | Latency: 6.63ms
Token 380: 'ving' | Latency: 6.73ms
Token 381: ' code' | Latency: 6.67ms
Token 382: ' quality' | Latency: 6.69ms
Token 383: '**:' | Latency: 6.70ms
Token 384: ' F' | Latency: 6.65ms
Token 385: 'ocusing' | Latency: 6.72ms
Token 386: ' on' | Latency: 6.76ms
Token 387: ' optimizing' | Latency: 6.56ms
Token 388: ' an' | Latency: 6.96ms
Token 389: ' algorithm' | Latency: 8.30ms
Token 390: ''s' | Latency: 6.44ms
Token 391: ' Big' | Latency: 6.41ms
Token 392: ' O' | Latency: 6.66ms
Token 393: ' complexity' | Latency: 7.85ms
Token 394: ' leads' | Latency: 6.77ms
Token 395: ' to' | Latency: 6.76ms
Token 396: ' better' | Latency: 6.91ms
Token 397: ' coding' | Latency: 6.69ms
Token 398: ' practices' | Latency: 6.56ms
Token 399: ' and' | Latency: 6.58ms
Token 400: ' more' | Latency: 6.61ms
Token 401: ' efficient' | Latency: 7.30ms
Token 402: ' solutions' | Latency: 5.97ms
Token 403: '.

' | Latency: 6.55ms
Token 404: '**' | Latency: 6.59ms
Token 405: 'Common' | Latency: 6.53ms
Token 406: ' Big' | Latency: 6.67ms
Token 407: ' O' | Latency: 6.53ms
Token 408: ' complexities' | Latency: 6.58ms
Token 409: '**

' | Latency: 6.56ms
Token 410: 'Here' | Latency: 6.64ms
Token 411: ' are' | Latency: 6.48ms
Token 412: ' some' | Latency: 6.64ms
Token 413: ' common' | Latency: 6.74ms
Token 414: ' Big' | Latency: 7.65ms
Token 415: ' O' | Latency: 6.63ms
Token 416: ' not' | Latency: 6.61ms
Token 417: 'ations' | Latency: 6.69ms
Token 418: ',' | Latency: 7.14ms
Token 419: ' along' | Latency: 6.78ms
Token 420: ' with' | Latency: 6.60ms
Token 421: ' their' | Latency: 6.86ms
Token 422: ' implications' | Latency: 7.03ms
Token 423: ':

' | Latency: 6.69ms
Token 424: '*' | Latency: 6.69ms
Token 425: ' O' | Latency: 6.58ms
Token 426: '(' | Latency: 6.58ms
Token 427: '1' | Latency: 6.57ms
Token 428: ')' | Latency: 6.58ms
Token 429: ' -' | Latency: 6.85ms
Token 430: ' Constant' | Latency: 6.43ms
Token 431: ' time' | Latency: 6.43ms
Token 432: ' complexity' | Latency: 6.45ms
Token 433: ' (' | Latency: 6.70ms
Token 434: 'e' | Latency: 8.32ms
Token 435: '.g' | Latency: 6.23ms
Token 436: '.,' | Latency: 6.35ms
Token 437: ' accessing' | Latency: 6.30ms
Token 438: ' a' | Latency: 6.57ms
Token 439: ' variable' | Latency: 7.87ms
Token 440: ' by' | Latency: 6.58ms
Token 441: ' its' | Latency: 6.40ms
Token 442: ' address' | Latency: 6.52ms
Token 443: ')
' | Latency: 6.41ms
Token 444: '	' | Latency: 6.48ms
Token 445: '+' | Latency: 6.40ms
Token 446: ' Imp' | Latency: 6.50ms
Token 447: 'lication' | Latency: 6.53ms
Token 448: ':' | Latency: 6.57ms
Token 449: ' The' | Latency: 6.28ms
Token 450: ' algorithm' | Latency: 6.47ms
Token 451: ' always' | Latency: 6.42ms
Token 452: ' takes' | Latency: 6.50ms
Token 453: ' the' | Latency: 6.42ms
Token 454: ' same' | Latency: 6.44ms
Token 455: ' amount' | Latency: 6.44ms
Token 456: ' of' | Latency: 6.51ms
Token 457: ' time' | Latency: 6.40ms
Token 458: ',' | Latency: 6.48ms
Token 459: ' regardless' | Latency: 6.50ms
Token 460: ' of' | Latency: 6.51ms
Token 461: ' input' | Latency: 6.41ms
Token 462: ' size' | Latency: 6.50ms
Token 463: '.
' | Latency: 6.48ms
Token 464: '*' | Latency: 7.52ms
Token 465: ' O' | Latency: 6.65ms
Token 466: '(log' | Latency: 6.71ms
Token 467: ' n' | Latency: 6.61ms
Token 468: ')' | Latency: 6.75ms
Token 469: ' -' | Latency: 6.60ms
Token 470: ' Log' | Latency: 6.78ms
Token 471: 'arith' | Latency: 6.95ms
Token 472: 'mic' | Latency: 6.82ms
Token 473: ' time' | Latency: 6.54ms
Token 474: ' complexity' | Latency: 6.57ms
Token 475: ' (' | Latency: 6.44ms
Token 476: 'e' | Latency: 6.46ms
Token 477: '.g' | Latency: 6.45ms
Token 478: '.,' | Latency: 6.44ms
Token 479: ' binary' | Latency: 6.43ms
Token 480: ' search' | Latency: 6.47ms
Token 481: ' in' | Latency: 6.40ms
Token 482: ' an' | Latency: 6.48ms
Token 483: ' array' | Latency: 7.09ms
Token 484: ')
' | Latency: 6.86ms
Token 485: '	' | Latency: 6.45ms
Token 486: '+' | Latency: 6.51ms
Token 487: ' Imp' | Latency: 6.58ms
Token 488: 'lication' | Latency: 6.80ms
Token 489: ':' | Latency: 6.34ms
Token 490: ' The' | Latency: 6.40ms
Token 491: ' algorithm' | Latency: 6.27ms
Token 492: ''s' | Latency: 6.29ms
Token 493: ' time' | Latency: 6.20ms
Token 494: ' complexity' | Latency: 9.09ms
Token 495: ' grows' | Latency: 6.61ms
Token 496: ' logarith' | Latency: 6.08ms
Token 497: 'm' | Latency: 7.71ms
Token 498: 'ically' | Latency: 6.30ms
Token 499: ' with' | Latency: 6.27ms
Token 500: ' the' | Latency: 6.35ms
Token 501: ' input' | Latency: 6.30ms
Token 502: ' size' | Latency: 6.34ms
Token 503: '.
' | Latency: 6.27ms
Token 504: '*' | Latency: 6.60ms
Token 505: ' O' | Latency: 7.65ms
Token 506: '(n' | Latency: 6.55ms
Token 507: ')' | Latency: 6.48ms
Token 508: ' -' | Latency: 6.50ms
Token 509: ' Linear' | Latency: 6.42ms
Token 510: ' time' | Latency: 6.42ms
Token 511: ' complexity' | Latency: 6.40ms
Token 512: ' (' | Latency: 6.54ms
